,0
0,펭귄
1,해외진출
2,펭수
3,화보
4,모델
5,로서
6,촬영
7,화보
8,촬영
9,위
10,펭수
11,눈물
12,나
13,노력
14,현직
15,모델
16,직접
17,모델
18,포즈
19,힙합
20,펭
21,수의
22,커버
23,영상
24,드
25,디
26,월미도
27,촬영
28,공개
29,영상
30,여러분
31,준
32,이번
33,신상
34,뮤비
35,공개
36,린지
37,참여
38,모든
39,펭러뷰
40,월미도
41,우리
42,시간
43,여러분
44,저
45,위해
46,시간
47,모두
48,날
49,갑자기
50,펭수
51,행동
52,걱정
53,진
54,긴급
55,솔루션
56,대책
57,마련
58,세상
59,펭귄
60,칠판
61,옆
62,꿈
63,위
64,가지
65,충고
66,저자
67,김효석
68,내일
69,모레
70,시험
71,여러분
72,위해
73,이
74,영상
75,펭펭
76,펭수
77,똑
78,범
79,둘리
80,선배
81,동창회
82,겸
83,단풍
84,남극
85,친구
86,동창회
87,시간
88,잡
89,내레이션
90,윤도현
91,선배
92,비타민
93,뿌듯
94,매니저
95,적응
96,중인
97,기
98,매니저
99,스펭
100,수
101,사관학교
102,통해
103,매니저
104,거듭
105,펭
106,펭수
107,핑크
108,빛
109,펭수
110,열애설
111,자랑
112,입
113,질
114,질
115,이제
116,자랑
117,고
118,펭수
119,간다
120,거
121,보고
122,내일
123,화
124,더
125,꿀잼
126,펭수
127,본부
128,초대
129,셀럽
130,정체
131,본부
132,특급
133,셀럽
134,배성재
135,직접
136,펭수
137,자질
138,확인
139,모종
140,거래
141,우리
142,친구
143,위해
144,일요일
145,밤
146,댯
147,펭펭
148,의
149,셀럽
150,자초
151,누군가
152,초대장
153,펭수
154,정복기
155,편
156,펭수
157,독자
158,여러분
159,하나
160,펭수
161,해외진출
162,펭수
163,친구
164,엘
165,로디
166,프랑스
167,진출
168,꿀팁
169,방출
170,펭수
171,프랑스
172,진출
173,수
174,이
175,영광
176,독자
177,여러분
178,펭수
179,펭귄
180,펭수
181,정체
182,대한
183,의혹
184,낱낱이
185,펭펭
186,펭수
187,당근
188,살
189,용
190,당근
191,목요일
192,주재
193,방금
194,요일
195,본방
196,연속
197,편
198,일요일
199,주재
200,방
201,방재
202,방
203,총
204,편
205,생방송
206,톡
207,톡
208,보니하니
209,인서트
210,주재
211,방
212,편자
213,주
214,자주
215,사랑
216,놀이
217,공원
218,온
219,펭
220,팀
