,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
0,[Ep 67] 전 세계 게 섰거라 (feat. 외교부),/watch?v=yUJAvW2Rykc,"1,381,698",42000,749,"6,838",K-펭귄 한다 해외진출
1,[Ep.66]  화보 모델 펭수,/watch?v=XUM3sH1kBtw,"1,583,971",46000,455,"7,678",펭수가 화보 모델로서 촬영을 하게 되었다!화보 촬영을 위한 펭수의 눈물(?) 나는 노력!그리고 현직 모델에게 직접 받는 모델 포즈까지!
2,펭수와 팬들의 최강 컬래버레이션 신상뮤비 (feat. 챌린지♡),/watch?v=LPmyxMH96S8,"604,376",29000,135,"3,921",힙합펭수의 커버영상이 드. 디. 어. 찾아왔다!월미도에서 촬영했던 미공개 영상과 여러분이 함께 만들어준 이번 신상뮤비 공개챌린지에 참여해준 모든 분들 펭러뷰~♡잊지말자 월미도 우리가 함께한 시간여러분이 저를 위해 함께해주는 시간 모두
3,[Ep.65] 세상에 나쁜 펭귄은 없다.,/watch?v=wedLGh2jxkQ,"1,975,593",50000,548,"6,974",어느 날 갑자기 펭수에게 이상한 행동들이 보인다!? 걱정된 제작진들이 긴급 솔루션 대책 마련에 나섰다!세상에 나쁜 펭귄은 없다!========================= 칠판옆 '꿈을 이루기 위한 7가지 충고 - ' 저자 김효석'=========================
4,수험생은 지금 당장 이 영상을 봅니다 (feat. 정승제쌤),/watch?v=25RhzK3HuYM,"651,078",20000,135,"2,760",내일 모레 엄청 큰 시험을 앞둔여러분들을 위해 이 영상을 바칩니당 펭펭
5,1회 남극 유치원 동창회 시작합니다(Feat. 둘리 선배님 등장),/watch?v=E5f4pRIycsU,"1,434,286",38000,432,"5,447",펭수가 똑이 범이 둘리 선배님과 동창회 겸 단풍놀이에 떠납니다.남극 친구들과의 동창회에서 떠나는 즐거운 시간들 시잡합니다
6,윤도현 선배님과 S본부에서 만남(feat. 우리 호흡 난리남),/watch?v=2biW2UZBvVA,"1,422,179",38000,382,"4,461",SBS에 내레이션 하러 갔다가윤도현 선배님의 비타민 됐음(뿌듯)
7,펭수의 매니저 사관학교(feat.매니저스) 펭! 하!,/watch?v=R2Oro64h5aM,"896,282",24000,195,"3,959",매니저에 적응 중인 2기 매니저스펭수 사관학교를 통해 진정한 매니저로 거듭나보자펭! 하!
8,[Ep.62] 인간x펭귄 두근두근 첫 데이트,/watch?v=iJF3R-5V2pU,"754,018",27000,131,"4,972",펭수에게도 핑크빛이?! (feat.펭수 열애설)
9,"펭수, 드디어 실버버튼 받다! (feat. 날개로 하는 언박싱은 처음이지?)",/watch?v=Ja6O9CSzwuk,"1,054,731",35000,276,"5,101",자랑하고 싶어서 입이 근질근질했는데이제 대놓고 자랑해도 돼?
10,"[Ep.61] 나 펭수, 학교에 잠입한다.",/watch?v=ThzyHA0LHvI,"691,551",21000,126,"3,669",고3들아 기다려라! 펭수가 간다!
11,(공) 행운의 펭수 카드 탄생 비화 (개),/watch?v=SlDD1ipgqjs,"331,980",13000,57,"2,520",이거 보고 내일 61화 보면 더 꿀잼
12,"[Ep.60] 펭수, EBS 퇴사??? SBS 정복기(2)",/watch?v=ze1wbV20qAU,"1,459,418",26000,353,"4,055",펭수를 S 본부로 초대한 셀럽의 정체가 드러났다..!S 본부의 특급 셀럽 배성재가 직접 펭수의 자질을 확인하고 모종의 거래까지..?
13,이제야 공개하는 추억의 10만 라이브 (feat. 깔끔진행 펭MC),/watch?v=1QNlKu67cwo,"589,358",21000,125,"2,952",우리 친구들을 위해일요일 밤에 올립니댯 펭펭
14,[Ep.59] 펭수vs재재 관심사냥 대결! SBS 정복기(1),/watch?v=5fqCbkIvJuE,"912,899",21000,245,"2,760",SBS의 셀럽을 자초한 누군가가 초대장을 보내왔다!펭수의 SBS 정복기 1편 (feat. 재재)
