,ID,Comment,Like,Title_number
0, 대한민국외교부              ,펭수 와줘서 고마워요! 해외진출의 꿈을 응원할게요~ 2019 한·아세안 특별정상회의도 홍보하는 K-펭귄♥ https://youtu.be/3WWKv7J7Gok,3600,0
1, 펭랑단1호              ,악플러들 고소하고 EBS 빚 갚자,3600,0
2, Isabel la              ,아니 무슨 교육방송이 ㅋㅋㅋ 왠만한 예능프로그램보다 더 잘만들어 자막이고 편집이고 프로그램이고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ EBS에서 억눌린거 포텐 터뜨리는중ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1300,0
3, 월드곰탱이              ,초반 영상부터 다 봐온 사람으로서열심히 한 죄밖에 없는데너무 힘들게 하는듯나쁜 댓글 읽지도말고 나쁜말도 듣지말고방송국건드리면 어떻게 되는지 보여줍시다EBS 공영방송이니 국가에서 나서주면 더 좋겠네요.펭수 & 제작진 여러분힘내세요펭러뷰,1300,0
4, gravity              ,위험한 물품 가지고 있어여? “제 자신” ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1000,0
5, Henry Kang              ,펭수 마트료시카 굿즈 나오면 구매하실 분👇,1000,0
6, Zaya Kim              ,펭수야 나는 덴마크 사는 한국사람이야 그런데 여기 친구들한테 너의 동영상을 전도하고 싶어도 영어 자막이 없어서 할수가 없어 ㅠㅠㅠㅠㅠ 😭😭😭 하루빨리 영어 자막을 달았으면 좋겠다,908,0
7, Bak Shin              ,"외교부편이 진짜 레전드네요. 어른이들과의 합도 좋고. 꿀벌펭수, 판다펭수, 취권펭수 등등 개인기 꿀입니다.",908,0
8, 열공열공              ,외교뷰 10살한테 다산의 상징이라뇨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,635,0
9, 꾸르륵              ,무한도전이 독한 시어머니 같은 팬들 때문에 곤혹스러웠던 거처럼 펭수도 그런 사람들 늘어나고 있네 적당히 하자 인간들아,635,0
10, EBSDocumentary (EBS 다큐)              ,"펭수...곧 백만이네,,, 짜싁 멋지다,,,,날씨가 많이 춥다,,,, 감기 조심허구,,,,,국밥 ,,,잘 챙겨 먹구 다녀,,, 👍",3000,0
11, -뽀오얀곰탱-              ,펭수한테 넘나고마운게...펭수를보고나서  항상반말짓거리에   남을무시하는말투였던내가..다나까요..를 쓴다는거다.  엄마한테화가나면..아왜? 어쩌라고했던내가..(펭수말투로).아..왜그로쉽니까아~죄송합니닷..ㅋ 한다..  내말투가부드러워졌다며 다들 좋아해주신다...고맙슴돠 펭수 ♡♡♡,3000,0
