,0
0,펭수
1,해외진출
2,꿈
3,응원
4,아세안
5,특별
6,정상
7,회의
8,홍보
9,펭귄
10,악플러
11,빚
12,무슨
13,교육방송
14,예능
15,프로그램
16,더
17,자막
18,편집
19,프로그램
20,포텐
21,중
22,초반
23,영상
24,온
25,사람
26,죄
27,댓글
28,지도
29,방송국
30,방송
31,국가
32,더
33,펭수
34,제작
35,진
36,여러분
37,펭러
38,뷰
39,물품
40,가지
41,제
42,자신
43,펭수
44,마트료시카
45,굿
46,구매
47,분
48,펭수
49,나
50,덴마크
51,한국
52,사람
53,여기
54,친구
55,너
56,동영상
57,전도
58,영어
59,자막
60,영어
61,자막
62,외교부
63,편이
64,진짜
65,레전드
66,어른
67,합
68,꿀벌
69,펭수
70,판다
71,펭수
72,취권
73,펭수
74,등등
75,개
76,인기
77,꿀
78,외교
79,뷰
80,살
81,다산
82,상징
83,뇨
84,무한도전
85,시어머니
86,팬
87,때문
88,곤혹
89,거
90,펭수
91,사람
92,하자
93,인간
94,펭수
95,곧
96,백만이
97,짜싁
98,날씨
99,춥다
100,감기
101,조심
102,허구
103,국밥
104,펭수
105,펭수
106,항상
107,반말
108,짓거리
109,남
110,무시
111,말투
112,다나
113,를
114,엄마
115,화가
116,왜
117,펭
118,말투
119,왜
120,그로
121,닷
122,말투
123,고맙슴돠
124,펭수
125,회사
126,사람
127,펭수
128,얘기
129,탈
130,뭐
131,펭수
132,펭수
133,자꾸
134,탈
135,뭐
136,욕
137,사람
138,펭수
139,펭수
140,우리
141,펭수
142,욕
143,펭수
144,비트박스
145,춤
146,고생
147,펭수
148,요즘
149,소수
150,사람
151,너
152,악성댓글
153,달
154,루머
155,퍼
156,는걸
157,댓글
158,무시
159,항상
160,것
161,펭수
162,알라
163,뷰
164,이
165,이
166,잠시
167,오마이
168,지금
169,펭
170,티비
171,공식
172,계정
173,영상
174,펭수
175,정말
176,단
177,한번
178,차이
179,언급
180,거나
181,약자
182,향
183,혐오
184,조롱
185,적
186,오히려
187,걸
188,반대
189,나
190,성별
191,나이
192,인종
193,등
194,누군가
195,선호
196,선택
197,수
198,종류
199,특성
200,공격
201,미가
202,소시민
203,임
204,댓글
205,하나
206,말
207,나
208,그동안
