,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
0,역대급 카(car)오스💦 PD한테 바람맞고 카메라 차단 당해서 강제 탐사보도 돼버린 타이어 매장 알바 리뷰 (feat. 민속촌 패밀리)ㅣ워크맨 ep.31,/watch?v=VpkfjLPjz3s,"3,252,220",54000,1100,20,"JOB것들아~~~♥ 인력소장이다,,,,~~~😎😎😎운전하는 잡것덜~~~ 차는,,, 타이어가 생명인거,,, 알제~~~ㅎ펑크나면,,,~ 후딱후딱 바꾸러가고~~ 미루다가 큰일난다~~~!! 워크맨 workman 장성규 타이어 넥센 자동차직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
1,"키즈카페가 그냥 커피라면 어린이집은 TOP야… 동심에 눈물폭발, 체력에 멘탈폭발, 오디오감독님 고막폭발 💀 어린이집 교사 리뷰ㅣ워크맨 ep.30",/watch?v=Pw7w1_q3Q5M,"4,833,539",77000,1300,20,"JOB것들아~~~♥ 인력소장이다,,,,~~~😎 😎 😎진짜,,,,, 초등학교든,,,~중학교든~~ 어린이집이든!!!!선생님들 너~,,,무 대단하신거여,,, ,다들 리스펙~~~~~ 워크맨 workman 장성규 어린이집 어린이집교사직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
2,하루에 람보르기니 40대 본다구요?;; 외제차 받고 한류 스타까지 더블로 영접한 청담동 주유소 알바 리뷰ㅣ워크맨 ep.29,/watch?v=ol9PmyoIq24,"5,953,097",100000,1400,20,"JOB것들아~~~♥ 인력소장이다,,,,~~~😎 😎 😎주유소,,알바도~~항상 안전이 젤 중요한거시다~~~,,,,알긋지~!?항상 불조심하고~~~차조심하고,,,,!!! 워크맨 workman 장성규 주유소알바 GS칼텍스직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 엑소 EXO"
3,"길치가 배달알바하면 생기는 일.avi 🚫네비못봄, 경로이탈, 시간초과🚫 치킨 식혀서 간 총체적 난국 배달 알바 리뷰ㅣ워크맨 ep.28",/watch?v=6NXzWfAHc_s,"2,302,881",28000,776,20,"JOB것들아~~~♥ 인력소장이다,,,,~~~😎 😎 😎요즘,,,갑자기 화아아악,,, 추워져갖꼬~~~!! 집에서덜,, 배달 많이 시켜묵는디,,,배달하는 알바생덜,,,, 극한 직업이니께,,, 감사하다고~,,, 인사 한마디씩은 해주자고오~ 워크맨 workman 장성규 배달알바 배민 배달음식직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
4,(영상에서 🍺 냄새남) 워크맨 최초 NO시급 NO업무 NO사장(?) 낭만뿜뿜 놀멍쉬멍 제주도 게스트하우스 스탭 리뷰 ㅣ워크맨 ep.27,/watch?v=v5MYPb_T4Co,"5,492,026",90000,1400,20,"JOB것들아~~~♥ 인력소장이다,,,,~~~😎 😎 😎히야아 요즘 내 동년배덜,,, 다 제주도 가믄 게스트하우스 간다더라고,,,,~~?울 잡것들도,,,~ 제주도서 게하체험해보구,~,,, 술은 너무 마니 마시지말고덜~~~!!!ㅎ 워크맨 workman 장성규 게하스탭 제주도직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
5,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,/watch?v=W2Kpi5zDABE,"6,494,684",88000,1600,20,"JOB것들아~~~♥ 인력소장이다,,,,~~~😎 😎 😎장성규 스튜핏이 잘 어울리길래,,, 호텔리어 옷도 찰떡아니냐~~~부내나는 알바,,,라 꿀~~일줄 알았는디~~~~ㅎ남들 쉴 때 못쉬는 힘든일이여,,,,ㅜ 워크맨 workman 장성규 호텔리어 제주도직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
6,"이정재, 정웅인 대한민국 명배우 총집합⭐ 다 된 드라마에 장성규 NG 뿌리기...? 보조출연 알바 리뷰ㅣ워크맨 ep.25",/watch?v=l502xg11uNM,"6,103,763",82000,1600,20,"JOB것들아~~~ 인력소장이다,,,,~~~😎 😎 😎약속한대루~,,, 이번주는 두편이다~~ㅎㅎ그리고,,, 드립도,,,,!!! 기,깔!나게~ 지어줘서 땡큐배리마취~~!!  워크맨 workman 장성규 JTBC 드라마 보좌관2 보조출연알바직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
7,(궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,/watch?v=byjgWjqoCvw,"5,126,842",91000,1200,20,"잡것들아~~~ 인력소장이다,,,,~~~ 😎😎😎요번컨설팅에 무~~려~~ 3천명이나~!! 지원했다는거여~!!! 신청서 다~~읽느라고오 눈 빠지는줄,,,알았다~!!ㅎㅎ아무턴,, 울 잡것들이 을매나~~고민이 만ㅎ은지~~ 이번에 공감하게됐고,,!!대한민국 취준생덜,,,학생덜,,,모두 다 취뽀하길~~기원헌다,,~!!!❤️ ❤️   워크맨 workman 장성규 사람인 취업 취뽀 취업컨설팅 취준생직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
8,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) 😈만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,/watch?v=jEA3p1ekzSw,"7,054,120",93000,2500,20,"잡것들아~~~ 인력소장이다,,,,~~~😎 😎 😎요새~,, 아침 저녁으루,,,, 추운디~ㅎ따땃한 옷 잘 사서 입고 댕겨,,,~ㅎ입고 여기저기 돌아댕기고,,,, 나아중에 환불해달라고~ 알바생들 괴롭히지는,,말고~!!!!~~~~~  워크맨 workman 장성규 의류매장 옷가게알바직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
9,"🎉 300만 돌파 축하, 게드립 생선드립 다 모아봄🎉 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",/watch?v=bvN7YelS34A,"6,661,542",110000,2100,20,"잡것들아~~~인력소장이다,,,~!!! 😎 😎 😎영상 마지막에,,,, 잡것들을 위한,,~!장성규의 해산물 뮤직비디오도 있으니께~꼬옥 끝까지 다 보라고오~~~!!! 고갈광우조오장,,,,~[해양수산부] 고갈광우조오장 M/V ▶ https://youtu.be/5BLaot2wB2c  워크맨 workman 장성규 수산물시장 해양수산부직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
