,ID,Comment,Like,Title_number
0, 워크맨-Workman              ,"JOB것들아~~~♥ 인력소장이다,,,,~~~😎😎😎이번에는,,,특이한,,,~ 알바 시켜봤는디~~~ㅎ,,이색알바 추천쫌~~~~해줘봐~~!!",7400,0
1, 잡코리아USA - 알면 쉬운 미국 취업 TV              ,민속촌 갑분툭  일하는거 겁나 웃기네 ㅋㅋㅋㅋㅋ 끝난거지 는 또 뭐야 ㅋㅋㅋㅋㅋㅋㅋ 자막 진짜 미쳣네요 ㅋㅋ,3800,0
2, 김성희              ,ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ아니 민속촌 알바하시는 분들은 왜 친절하게 도와주시는 건데ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ,2400,0
3, 인서              ,아 저분이 저번에 신서유기에서 피카추 탱그탑 입으셨던 분이신가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 되게 기억에 남았었는데,1300,0
4, 탱귤 탱귤              ,구독자가 왜 장성규를 모르는거얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,817,0
5, 밍밍이들- 동네핫플이 궁금해?              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ갑자기 민속촌 나타나는 것도 어이 없는데ㅋㅋㅋ보자마자 일시키네ㅋㅋㅋㅋㅋ,3200,0
6, W H              ,장성규가 장성규라고 하는게 그 정도로 못 믿을 일이냨ㅋㅋㅋㄱㅋ,722,0
7, 유사인간              ,뜬듬없이 민속촌 꼴라보 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 화공이 너무 조아 ㅠㅠㅠㅠㅠ,357,0
8, 개시바하면짖는시바개              ,워크맨 편집이 진짜 재밌는건상황에 맞는 짤과 자막 그리고뀨가 쫌만 개소리 나가면 컷하는 센스 ㅋㅋ,281,0
9, 주네JUNE              ,아진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 갈수록 자막도 고퀄이 되어가는 것 같아요 너무 웃겨 ㅠㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋ,300,0
10, 한국민속촌 춘삼이는 꽃거지              ,편집되서 그러지 우리가 타이어 진짜 많이 날랏는데ㅜㅠㅜㅠㅠ 나간건 내가 밥주워먹는거뿐 ㅜㅠㅜㅠ 엉엉 ㅜㅠㅠㅠ유튜브채널 우라늄도 많이 사랑해줘요 제발!!!,3800,0
11, 심수연              ,4:54 OK~,576,0
12, PARK KYUNGTAE              ,민속촌 분들 왜이렇게 반갑냐 진짜 ㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,513,0
13, ㅈH현              ,뜻밖의 민속촌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,446,0
14, gygygy hong              ,콜센터 알바스키장 알바공장 생산직 알바쿠팡 물류센터 알바연말정산 입력 알바방청객 알바서빙 알바마트 알바셀프세차 알바인천공항 알바웨딩홀 알바인테리어 알바많아요 ㅋㅋㅋㅋㅋ,32,0
15, 생갈치1호의행방불명              ,아임 ‘타이어’드ㅋㅋㅋㅋㅋㅋㅋㅋ이런 깨알드립 너무젛아,281,0
16, 윤아나 월드 Yoonana World              ,워크맨 촬영중이라니까 “아닌거 같은데” ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6,0
17, 이한              ,2:25 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 편집자분도 연말시상식 같은대서 상 하나 드려야되 진짜,138,0
